timestamp,algorithm,packet_loss_percent,base_delay_ms,jitter_ms,trial_number,success,handshake_time_ms,error_reason
2026-04-25T12:29:35.112610,ECC_TLS,1,50,20,9,1,696.67,
2026-04-25T12:29:35.850451,ECC_TLS,1,50,20,10,1,621.501,
2026-04-25T12:29:36.659924,ECC_TLS,1,50,20,11,1,703.577,
2026-04-25T12:29:37.553487,ECC_TLS,1,50,20,12,1,700.123,
2026-04-25T12:29:38.219638,ECC_TLS,1,50,20,13,1,560.115,
2026-04-25T12:29:38.890755,ECC_TLS,1,50,20,14,1,557.493,
2026-04-25T12:29:39.538253,ECC_TLS,1,50,20,15,1,541.203,
2026-04-25T12:29:40.310642,ECC_TLS,1,50,20,16,1,655.727,
2026-04-25T12:29:41.121346,ECC_TLS,1,50,20,17,1,689.565,
2026-04-25T12:29:41.885396,ECC_TLS,1,50,20,18,1,633.511,
2026-04-25T12:29:42.520834,ECC_TLS,1,50,20,19,1,523.948,
2026-04-25T12:29:43.279506,ECC_TLS,1,50,20,20,1,639.44,
2026-04-25T12:29:44.064248,ECC_TLS,1,50,20,21,1,677.692,
2026-04-25T12:29:44.870212,ECC_TLS,1,50,20,22,1,702.418,
2026-04-25T12:29:45.500043,ECC_TLS,1,50,20,23,1,526.502,
2026-04-25T12:29:46.280349,ECC_TLS,1,50,20,24,1,649.558,
2026-04-25T12:29:46.924711,ECC_TLS,1,50,20,25,1,539.545,
2026-04-25T12:29:47.615067,ECC_TLS,1,50,20,26,1,586.254,
2026-04-25T12:29:48.304695,ECC_TLS,1,50,20,27,1,583.756,
2026-04-25T12:29:49.062475,ECC_TLS,1,50,20,28,1,649.974,
2026-04-25T12:29:49.732302,ECC_TLS,1,50,20,29,1,565.62,
2026-04-25T12:29:50.325445,ECC_TLS,1,50,20,30,1,488.739,
2026-04-25T12:29:51.270155,ECC_TLS,1,50,50,1,1,558.742,
2026-04-25T12:29:51.931634,ECC_TLS,1,50,50,2,1,553.497,
2026-04-25T12:29:52.790153,ECC_TLS,1,50,50,3,1,753.36,
2026-04-25T12:29:53.692096,ECC_TLS,1,50,50,4,1,796.29,
2026-04-25T12:29:54.496723,ECC_TLS,1,50,50,5,1,695.45,
2026-04-25T12:29:55.175657,ECC_TLS,1,50,50,6,1,571.213,
2026-04-25T12:29:55.782182,ECC_TLS,1,50,50,7,1,498.562,
2026-04-25T12:29:56.518704,ECC_TLS,1,50,50,8,1,631.367,
2026-04-25T12:29:57.521736,ECC_TLS,1,50,50,9,1,898.758,
2026-04-25T12:29:58.185131,ECC_TLS,1,50,50,10,1,558.021,
2026-04-25T12:29:58.744014,ECC_TLS,1,50,50,11,1,455.619,
2026-04-25T12:29:59.910274,ECC_TLS,1,50,50,12,1,1060.37,
2026-04-25T12:30:00.508251,ECC_TLS,1,50,50,13,1,491.843,
2026-04-25T12:30:01.196746,ECC_TLS,1,50,50,14,1,559.745,
2026-04-25T12:30:01.921278,ECC_TLS,1,50,50,15,1,618.62,
2026-04-25T12:30:02.800510,ECC_TLS,1,50,50,16,1,773.91,
2026-04-25T12:30:03.336412,ECC_TLS,1,50,50,17,1,431.782,
2026-04-25T12:30:05.042114,ECC_TLS,1,50,50,18,1,1600.22,
2026-04-25T12:30:05.869710,ECC_TLS,1,50,50,19,1,719.422,
2026-04-25T12:30:06.581981,ECC_TLS,1,50,50,20,1,603.175,
2026-04-25T12:30:07.394723,ECC_TLS,1,50,50,21,1,702.319,
2026-04-25T12:30:08.221855,ECC_TLS,1,50,50,22,1,691.628,
2026-04-25T12:30:08.925142,ECC_TLS,1,50,50,23,1,597.398,
